"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.08.2025","9.889,40","9.891,55","9.922,35","9.854,25","","-0,03%"
"07.08.2025","9.891,91","9.802,98","9.932,65","9.802,92","","0,91%"
"06.08.2025","9.802,59","9.711,61","9.850,74","9.711,61","","0,94%"
"05.08.2025","9.711,61","9.709,85","9.776,23","9.668,30","","0,02%"
"04.08.2025","9.709,87","9.698,41","9.784,11","9.663,20","","0,12%"
"01.08.2025","9.698,16","9.739,83","9.771,77","9.687,26","","-0,52%"
"31.07.2025","9.748,87","9.809,54","9.809,54","9.683,03","","-0,64%"
"30.07.2025","9.811,80","9.740,69","9.862,40","9.696,13","","0,73%"
"29.07.2025","9.740,57","9.694,25","9.769,51","9.691,80","","0,48%"
"28.07.2025","9.694,03","9.799,74","9.829,19","9.662,21","","-1,08%"
"25.07.2025","9.800,05","9.810,80","9.838,96","9.780,32","","-0,11%"
"24.07.2025","9.810,69","9.888,38","9.888,38","9.781,12","","-0,79%"
"23.07.2025","9.888,38","9.755,79","9.916,30","9.754,51","","1,36%"
"22.07.2025","9.756,05","9.797,90","9.873,59","9.752,57","","-0,42%"
"21.07.2025","9.797,62","9.717,45","9.840,57","9.715,49","","0,82%"
"18.07.2025","9.717,55","9.840,60","9.840,60","9.705,17","","-1,25%"
"17.07.2025","9.840,68","9.862,11","9.864,10","9.803,80","","-0,21%"
"16.07.2025","9.861,14","9.872,42","9.885,79","9.784,32","","-0,11%"
"15.07.2025","9.872,12","9.881,72","9.937,69","9.813,82","","-0,09%"
"14.07.2025","9.881,50","9.937,56","9.938,70","9.847,12","","-0,56%"
"13.07.2025","9.937,45","9.970,08","9.937,45","9.937,45","","0,00%"
"11.07.2025","9.937,45","9.970,08","9.970,08","9.886,53","","-0,33%"
"10.07.2025","9.970,06","9.978,52","10.005,81","9.893,97","","-0,09%"
"09.07.2025","9.978,57","10.127,02","10.127,02","9.969,98","","-1,47%"
"08.07.2025","10.127,04","10.141,78","10.147,87","10.077,81","","-0,14%"
"07.07.2025","10.141,72","10.247,99","10.268,72","10.130,45","","-1,05%"